API Typ,tadir_object,tadir_obj_name,object_type,object_key,software_component,application_component,state,successor_classification,successor_concept_name,successor_tadir_object,successor_tadir_obj_name,successor_object_type,successor_object_name,api_catalog
TIER1,DTEL,CHAR20,DTEL,CHAR20,SAP_BASIS,BC-DWB-TOO,DEPRECATED,0,
TIER1,DTEL,CHAR200,DTEL,CHAR200,SAP_BASIS,BC-DWB-TOO,DEPRECATED,0,
TIER1,DTEL,CHAR22,DTEL,CHAR22,SAP_BASIS,BC-SRV-REP,DEPRECATED,0,
TIER1,DTEL,CHAR24,DTEL,CHAR24,SAP_BASIS,BC-DWB-TOO,DEPRECATED,0,
TIER1,DTEL,CHAR25,DTEL,CHAR25,SAP_BASIS,BC-DWB-TOO,DEPRECATED,0,
TIER1,DTEL,CHAR251,DTEL,CHAR251,SAP_BASIS,BC-DWB-TOO,DEPRECATED,0,
TIER1,DTEL,CHAR255,DTEL,CHAR255,SAP_BASIS,BC-DWB-DIC-AC,DEPRECATED,0,
TIER1,DTEL,CHAR26,DTEL,CHAR26,SAP_BASIS,BC-CCM-MON-TUN,DEPRECATED,0,
TIER1,DTEL,CHAR260,DTEL,CHAR260,SAP_BASIS,BC-CUS-TOL-IMG,DEPRECATED,0,
TIER1,DTEL,CHAR3,DTEL,CHAR3,SAP_BASIS,BC-DWB-TOO,DEPRECATED,0,
TIER1,DTEL,CHAR30,DTEL,CHAR30,SAP_BASIS,BC-DWB-TOO,DEPRECATED,0,
TIER1,DTEL,CHAR32,DTEL,CHAR32,SAP_BASIS,BC-CUS-TOL-NAV,DEPRECATED,0,
TIER1,DTEL,CHAR35,DTEL,CHAR35,SAP_BASIS,BC-DWB-TOO,DEPRECATED,0,
TIER1,DTEL,CHAR38,DTEL,CHAR38,SAP_BASIS,BC-DOC-DTL,DEPRECATED,0,
TIER1,DTEL,CHAR4,DTEL,CHAR4,SAP_BASIS,BC-ABA-SC,DEPRECATED,0,
TIER1,DTEL,CHAR40,DTEL,CHAR40,SAP_BASIS,BC-DOC-TER,DEPRECATED,0,
TIER1,DTEL,CHAR45,DTEL,CHAR45,SAP_BASIS,BC-DWB-TOO,DEPRECATED,0,
TIER1,DTEL,CHAR5,DTEL,CHAR5,SAP_BASIS,BC-DWB-TOO,DEPRECATED,0,
TIER1,DTEL,CHAR6,DTEL,CHAR6,SAP_BASIS,BC-DWB-TOO,DEPRECATED,0,
TIER1,DTEL,CHAR64,DTEL,CHAR64,SAP_BASIS,BC-DOC-HLP,DEPRECATED,0,
TIER1,DTEL,CHAR70,DTEL,CHAR70,SAP_BASIS,BC-CCM-BTC,DEPRECATED,0,
